Sample,Magnification,Compound Compositions,Indent Composition,Hardness,Hv,Modulus,Stiffness^2 / Load,Pmax,Hmax,Reporting Depth
EP3086D,2_600X,CuTiAl = Cu: 48.93%-Ti: 24.62%-Al: 24.32%-Cr: 2.13% | CuTiAlCr = Cu: 37.09%-Ti: 26.2%-Al: 25.96%-Cr: 10.75% | CuAlTi = Cu: 57.36%-Al: 28.69%-Ti: 11.86%-Cr: 2.1% | Unassigned = Cu: 43.63%-Al: 25.06%-Ti: 19.15%-Cr: 12.15%,CuTiAl : 17.38%|Unassigned : 23.09%|CuTiAlCr : 58.23%|CuAlTi : 1.29%,8.207,775.7,158.21,3535.3,537.515,2066,357.3
EP3086D,2_600X,CuTiAl = Cu: 48.93%-Ti: 24.62%-Al: 24.32%-Cr: 2.13% | CuTiAlCr = Cu: 37.09%-Ti: 26.2%-Al: 25.96%-Cr: 10.75% | CuAlTi = Cu: 57.36%-Al: 28.69%-Ti: 11.86%-Cr: 2.1% | Unassigned = Cu: 43.63%-Al: 25.06%-Ti: 19.15%-Cr: 12.15%,CuTiAl : 51.65%|Unassigned : 6.52%|CuTiAlCr : 35.28%|CuAlTi : 6.55%,5.73,541.6,149.54,4589,452.645,2047,430.6
EP3086D,2_600X,CuTiAl = Cu: 48.93%-Ti: 24.62%-Al: 24.32%-Cr: 2.13% | CuTiAlCr = Cu: 37.09%-Ti: 26.2%-Al: 25.96%-Cr: 10.75% | CuAlTi = Cu: 57.36%-Al: 28.69%-Ti: 11.86%-Cr: 2.1% | Unassigned = Cu: 43.63%-Al: 25.06%-Ti: 19.15%-Cr: 12.15%,CuTiAlCr : 25.15%|Unassigned : 13.94%|CuTiAl : 52.78%|CuAlTi : 8.12%,5.404,510.8,144.47,4581,451.71,2050,443.9
EP3086D,2_600X,CuTiAl = Cu: 48.93%-Ti: 24.62%-Al: 24.32%-Cr: 2.13% | CuTiAlCr = Cu: 37.09%-Ti: 26.2%-Al: 25.96%-Cr: 10.75% | CuAlTi = Cu: 57.36%-Al: 28.69%-Ti: 11.86%-Cr: 2.1% | Unassigned = Cu: 43.63%-Al: 25.06%-Ti: 19.15%-Cr: 12.15%,CuAlTi : 10.01%|Unassigned : 4.73%|CuTiAlCr : 41.52%|CuTiAl : 43.75%,6.747,637.7,145.15,3699.7,507.158,2049,395.5
EP3086D,2_600X,CuTiAl = Cu: 48.93%-Ti: 24.62%-Al: 24.32%-Cr: 2.13% | CuTiAlCr = Cu: 37.09%-Ti: 26.2%-Al: 25.96%-Cr: 10.75% | CuAlTi = Cu: 57.36%-Al: 28.69%-Ti: 11.86%-Cr: 2.1% | Unassigned = Cu: 43.63%-Al: 25.06%-Ti: 19.15%-Cr: 12.15%,CuTiAl : 28.94%|CuTiAlCr : 56.47%|Unassigned : 14.57%|CuAlTi : 0.02%,6.238,589.6,147.32,4107.3,471.684,2046,411.9
EP3086D,2_600X,CuTiAl = Cu: 48.93%-Ti: 24.62%-Al: 24.32%-Cr: 2.13% | CuTiAlCr = Cu: 37.09%-Ti: 26.2%-Al: 25.96%-Cr: 10.75% | CuAlTi = Cu: 57.36%-Al: 28.69%-Ti: 11.86%-Cr: 2.1% | Unassigned = Cu: 43.63%-Al: 25.06%-Ti: 19.15%-Cr: 12.15%,CuAlTi : 12.50%|CuTiAlCr : 32.71%|Unassigned : 19.37%|CuTiAl : 35.43%,5.473,517.3,145.22,4564.7,464.014,2050,440.9
EP3086D,2_600X,CuTiAl = Cu: 48.93%-Ti: 24.62%-Al: 24.32%-Cr: 2.13% | CuTiAlCr = Cu: 37.09%-Ti: 26.2%-Al: 25.96%-Cr: 10.75% | CuAlTi = Cu: 57.36%-Al: 28.69%-Ti: 11.86%-Cr: 2.1% | Unassigned = Cu: 43.63%-Al: 25.06%-Ti: 19.15%-Cr: 12.15%,CuTiAlCr : 66.72%|Unassigned : 19.23%|CuTiAl : 4.30%|CuAlTi : 9.76%,6.299,595.4,152.95,4342.4,486.001,2054,409.8
EP3086D,2_600X,CuTiAl = Cu: 48.93%-Ti: 24.62%-Al: 24.32%-Cr: 2.13% | CuTiAlCr = Cu: 37.09%-Ti: 26.2%-Al: 25.96%-Cr: 10.75% | CuAlTi = Cu: 57.36%-Al: 28.69%-Ti: 11.86%-Cr: 2.1% | Unassigned = Cu: 43.63%-Al: 25.06%-Ti: 19.15%-Cr: 12.15%,CuTiAlCr : 49.18%|CuTiAl : 33.64%|Unassigned : 8.58%|CuAlTi : 8.61%,4.842,457.7,144.66,5124.6,472.839,2067,469.9
EP3086D,2_600X,CuTiAl = Cu: 48.93%-Ti: 24.62%-Al: 24.32%-Cr: 2.13% | CuTiAlCr = Cu: 37.09%-Ti: 26.2%-Al: 25.96%-Cr: 10.75% | CuAlTi = Cu: 57.36%-Al: 28.69%-Ti: 11.86%-Cr: 2.1% | Unassigned = Cu: 43.63%-Al: 25.06%-Ti: 19.15%-Cr: 12.15%,CuTiAl : 50.47%|CuTiAlCr : 13.31%|Unassigned : 22.68%|CuAlTi : 13.54%,4.564,431.4,138.06,5006.8,509.459,2079,484.7
EP3086D,2_600X,CuTiAl = Cu: 48.93%-Ti: 24.62%-Al: 24.32%-Cr: 2.13% | CuTiAlCr = Cu: 37.09%-Ti: 26.2%-Al: 25.96%-Cr: 10.75% | CuAlTi = Cu: 57.36%-Al: 28.69%-Ti: 11.86%-Cr: 2.1% | Unassigned = Cu: 43.63%-Al: 25.06%-Ti: 19.15%-Cr: 12.15%,CuTiAl : 86.09%|CuAlTi : 3.56%|CuTiAlCr : 9.11%|Unassigned : 1.24%,5.841,552.1,151.19,4590,472.247,2045,426.1
EP3086D,2_600X,CuTiAl = Cu: 48.93%-Ti: 24.62%-Al: 24.32%-Cr: 2.13% | CuTiAlCr = Cu: 37.09%-Ti: 26.2%-Al: 25.96%-Cr: 10.75% | CuAlTi = Cu: 57.36%-Al: 28.69%-Ti: 11.86%-Cr: 2.1% | Unassigned = Cu: 43.63%-Al: 25.06%-Ti: 19.15%-Cr: 12.15%,CuTiAl : 71.09%|CuTiAlCr : 28.91%,5.452,515.3,148.66,4774.2,473.397,2047,441.7
EP3086D,2_600X,CuTiAl = Cu: 48.93%-Ti: 24.62%-Al: 24.32%-Cr: 2.13% | CuTiAlCr = Cu: 37.09%-Ti: 26.2%-Al: 25.96%-Cr: 10.75% | CuAlTi = Cu: 57.36%-Al: 28.69%-Ti: 11.86%-Cr: 2.1% | Unassigned = Cu: 43.63%-Al: 25.06%-Ti: 19.15%-Cr: 12.15%,CuTiAl : 35.41%|CuTiAlCr : 48.87%|Unassigned : 15.72%,6.964,658.2,173.11,4866.6,515.517,2055,389
EP3086D,2_600X,CuTiAl = Cu: 48.93%-Ti: 24.62%-Al: 24.32%-Cr: 2.13% | CuTiAlCr = Cu: 37.09%-Ti: 26.2%-Al: 25.96%-Cr: 10.75% | CuAlTi = Cu: 57.36%-Al: 28.69%-Ti: 11.86%-Cr: 2.1% | Unassigned = Cu: 43.63%-Al: 25.06%-Ti: 19.15%-Cr: 12.15%,CuTiAlCr : 30.28%|Unassigned : 21.09%|CuAlTi : 17.13%|CuTiAl : 31.50%,5.582,527.7,142.22,4313.7,491.631,2049,436.5
EP3086D,2_600X,CuTiAl = Cu: 48.93%-Ti: 24.62%-Al: 24.32%-Cr: 2.13% | CuTiAlCr = Cu: 37.09%-Ti: 26.2%-Al: 25.96%-Cr: 10.75% | CuAlTi = Cu: 57.36%-Al: 28.69%-Ti: 11.86%-Cr: 2.1% | Unassigned = Cu: 43.63%-Al: 25.06%-Ti: 19.15%-Cr: 12.15%,CuTiAlCr : 30.28%|Unassigned : 7.82%|CuTiAl : 59.37%|CuAlTi : 2.53%,5.416,511.9,143.66,4526.3,483.37,2049,443.3
EP3086D,2_600X,CuTiAl = Cu: 48.93%-Ti: 24.62%-Al: 24.32%-Cr: 2.13% | CuTiAlCr = Cu: 37.09%-Ti: 26.2%-Al: 25.96%-Cr: 10.75% | CuAlTi = Cu: 57.36%-Al: 28.69%-Ti: 11.86%-Cr: 2.1% | Unassigned = Cu: 43.63%-Al: 25.06%-Ti: 19.15%-Cr: 12.15%,CuTiAl : 27.14%|Unassigned : 27.61%|CuTiAlCr : 38.49%|CuAlTi : 6.76%,5.35,505.6,130.7,3876.8,451.771,2043,446.2
